Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens
4/23/2024 20:13:28,U57VENCU,"No hacer lo que te digan los demas, siempre pensar en uno mismo y pelear por lo que nos gusta","No hacer lo que te digan los demas, siempre pensar en uno mismo y pelear por lo que nos gusta",25
4/23/2024 20:13:37,A2IERC7W,Buscar siempre la constante mejora de uno mismo,Buscar siempre la constante mejora de uno mismo,10
4/23/2024 20:18:00,9N5PTUUF,"En nuestra trayectoria creo sería encontrar amigos que hagan que los momentos de nuestra vida sean felices y disfrutar de esos momentos, pues no se trata de llegar a un lugar, sino, de disfrutar de nuestro camino.","En nuestra trayectoria creo sería encontrar amigos que hagan que los momentos de nuestra vida sean felices y disfrutar de esos momentos, pues no se trata de llegar a un lugar, sino, de disfrutar de nuestro camino.",48
4/23/2024 20:28:40,SXA26XSC,"La felicidad es un sentimiento creado a partir de situaciones que estimulan nuestro cerebro, desde mi punto de vista, la felicidad es el producto de eventos que resultan placenteros y despiertan interés en nosotros. Además la felicidad es subjetiva, un Niño pequeño puede ser feliz al recibir un dulce, mientras que alguien con más años de vida puede resultarle difícil encontrar la felicidad en cosas tan pequeñas como esa.","La felicidad es un sentimiento creado a partir de situaciones que estimulan nuestro cerebro, desde mi punto de vista, la felicidad es el producto de eventos que resultan placenteros y despiertan interés en nosotros. Además la felicidad es subjetiva, un Niño pequeño puede ser feliz al recibir un dulce, mientras que alguien con más años de vida puede resultarle difícil encontrar la felicidad en cosas tan pequeñas como esa.",96
4/23/2024 20:30:08,XEDRH93Z,"La felicidad es un estado de paz interior y satisfacción con la vida en general. 
Se trata de disfrutar de los momentos simples y valorar lo que tenemos en lugar de enfocarnos en lo que nos falta.",La felicidad es un estado de paz interior y satisfacción con la vida en general. Se trata de disfrutar de los momentos simples y valorar lo que tenemos en lugar de enfocarnos en lo que nos falta.,51
4/23/2024 20:43:09,S8Y84CH8,"Supongo que es un sentimiento que nos hace sentir bien, más enérgicos, con euforia, amor, paz y a veces serenidad. ","Supongo que es un sentimiento que nos hace sentir bien, más enérgicos, con euforia, amor, paz y a veces serenidad.",35
4/23/2024 20:44:26,HG74CPSK,El arte y la música ,El arte y la música,5
4/23/2024 21:02:39,L2RH302J,"Es algo bastante amplio que se simboliza en distintos eventos que puedo tener en mi vidad,desde  cosas complejas como superar retos dificiles o mas sencillas como terminar de lavar mi ropa.","Es algo bastante amplio que se simboliza en distintos eventos que puedo tener en mi vidad,desde cosas complejas como superar retos dificiles o mas sencillas como terminar de lavar mi ropa.",45
4/23/2024 21:05:33,FN2PCHS1,Aquellas cosas que nos dan paz y nos hacen sentir seguros ,Aquellas cosas que nos dan paz y nos hacen sentir seguros,14
4/23/2024 21:10:29,GUS8V807,"Vivir bajo el significado del amor, desde uno mismo hacia todo factor con el que se relacione. Esto significa, actuar, relacionarse, trabajar y resolver problemas desde el amor, la paciencia y un nivel de conciencia que practica el estoicismo. ","Vivir bajo el significado del amor, desde uno mismo hacia todo factor con el que se relacione. Esto significa, actuar, relacionarse, trabajar y resolver problemas desde el amor, la paciencia y un nivel de conciencia que practica el estoicismo.",57
4/23/2024 21:26:04,3GGBO8RK,Vive y deja vivir además de no sobre pensar las cosas.,Vive y deja vivir además de no sobre pensar las cosas.,12
4/23/2024 21:27:00,3DA9WB82,Seguir el camino de lo que te apasiona,Seguir el camino de lo que te apasiona,11
4/23/2024 21:37:25,4SUVP1WR,"tener libertad, tranquilidad, plenitud, soledad, independencia. O al menos una de esas","tener libertad, tranquilidad, plenitud, soledad, independencia. O al menos una de esas",23
4/23/2024 22:47:07,JOAT36RK,Una vida sin preocupaciones ,Una vida sin preocupaciones,7
4/23/2024 22:57:11,53EHQAPE,Encontrar un propósito para vivir ,Encontrar un propósito para vivir,7
4/23/2024 23:46:42,PVDRLPQL,"Él no buscar la felicidad como una recompensa o algo que se pueda encontrar como si fuera un objeto, sino más bien como algo progresivo y constante que te permita ser feliz de una manera natural e inconsiente.","Él no buscar la felicidad como una recompensa o algo que se pueda encontrar como si fuera un objeto, sino más bien como algo progresivo y constante que te permita ser feliz de una manera natural e inconsiente.",49
4/23/2024 23:57:44,K8SLYVAW,"El significado de la felicidad reside dentro de encontrar algo que te motive todos los días a salir de la cama, que no te prive de sentir y vivir lo que el cuerpo hable y sienta. ","El significado de la felicidad reside dentro de encontrar algo que te motive todos los días a salir de la cama, que no te prive de sentir y vivir lo que el cuerpo hable y sienta.",44
4/24/2024 0:02:54,TUNKCUEZ,La felicidad es subjetiva la felicidad cada uno la busca y le da sentido a su propia vida,La felicidad es subjetiva la felicidad cada uno la busca y le da sentido a su propia vida,24
4/24/2024 1:16:24,5I7IDE86,"La felicidad es traicionera. Algunos días vuelve llena de vida, dispuesta a darte los mejores detalles de ella, te hace disfrutar y hacerte sentirte vivo pues tener emociones tan fuertes como es la felicidad es vivir, te hace sentirte lleno y pleno, lleno de paz, alegría y amor. La felicidad es hermosa, es amar a la persona que está a tu lado, es apreciar cada momento de tu día, es aquello que le da sentido a mi vida, pero solo es momentáneo y al igual de traicioneros que son los humanos lo es ella, se va, te miente, te deja un vacío, se vuelve en una droga, una necesidad. Pero que hermosa droga. ","La felicidad es traicionera. Algunos días vuelve llena de vida, dispuesta a darte los mejores detalles de ella, te hace disfrutar y hacerte sentirte vivo pues tener emociones tan fuertes como es la felicidad es vivir, te hace sentirte lleno y pleno, lleno de paz, alegría y amor. La felicidad es hermosa, es amar a la persona que está a tu lado, es apreciar cada momento de tu día, es aquello que le da sentido a mi vida, pero solo es momentáneo y al igual de traicioneros que son los humanos lo es ella, se va, te miente, te deja un vacío, se vuelve en una droga, una necesidad. Pero que hermosa droga.",164
4/24/2024 10:55:51,WG8ABYZS,Es subjetiva y derivada de la gente y los bienes que están contigo ,Es subjetiva y derivada de la gente y los bienes que están contigo,16
4/24/2024 11:16:48,QCURT76I,vivir y compartir la experiencia,vivir y compartir la experiencia,6
4/24/2024 11:24:06,8OVFX977,"La felicidad es cuando mezclamos la tranquilidad con algo que nos agrada, que nos divierte y/o que amamos.","La felicidad es cuando mezclamos la tranquilidad con algo que nos agrada, que nos divierte y/o que amamos.",31
4/24/2024 11:27:42,PPZXS8CP,Paz mental ,Paz mental,2
4/24/2024 11:28:12,T38J7JB4,"EL LOGRAR METAS EN CONJUNTO, LAS METAS INDIVIDUALES SON BUENAS PERO EN CONJUNTO SE LOGRAN MÁS GRANDES Y SE DISFRUTA COMPARTIR.","EL LOGRAR METAS EN CONJUNTO, LAS METAS INDIVIDUALES SON BUENAS PERO EN CONJUNTO SE LOGRAN MÁS GRANDES Y SE DISFRUTA COMPARTIR.",67
4/24/2024 11:29:56,TE4FJ4MH,Estar juntos a las personas que quieres ,Estar juntos a las personas que quieres,9
4/24/2024 11:30:15,ZELPD30F,"Yo quiero lo que me merezco
- Y qué te mereces?
El mundo chico y lo que hay en el. ",Yo quiero lo que me merezco - Y qué te mereces? El mundo chico y lo que hay en el.,26
4/24/2024 11:31:24,PUV5RTZG,"El aprender a amarte a ti mismo, a ser feliz contigo mismo, ya que para poder transmitir esa felicidad, tu debes tenerla.","El aprender a amarte a ti mismo, a ser feliz contigo mismo, ya que para poder transmitir esa felicidad, tu debes tenerla.",33
4/24/2024 11:32:16,33JDURG7,Sería la forma en la que alguien sonríe después de pasar horas en la cocina haciendo su comida favorita,Sería la forma en la que alguien sonríe después de pasar horas en la cocina haciendo su comida favorita,23
4/24/2024 11:32:59,EAM2O87V,"Le diría que la felicidad está en la simplicidad de la vida, como el la ha descrito. Jorge Ibarguengoitia.","Le diría que la felicidad está en la simplicidad de la vida, como el la ha descrito. Jorge Ibarguengoitia.",31
4/24/2024 11:33:22,H22AN93K,Mis gatos,Mis gatos,3
4/24/2024 11:35:28,IRB84959,"El conjunto de sensaciones que evocan tranquilidad, la sensación de no querer huir ","El conjunto de sensaciones que evocan tranquilidad, la sensación de no querer huir",22
4/24/2024 11:39:35,XOF6KQ1G,Tranquilidad,Tranquilidad,4
4/24/2024 11:40:06,1GC9M0FT,Dinero,Dinero,2
4/24/2024 11:41:02,DZ9DN7BK,Estar en calma y paz ,Estar en calma y paz,7
4/24/2024 11:41:30,ZF56737V,"Autorealización, relaciones sanas, plenitud financiera y paz con uno mismo","Autorealización, relaciones sanas, plenitud financiera y paz con uno mismo",18
4/24/2024 11:53:22,HGX6HZA2,La felicidad es un estado de satisfacción y bienestar,La felicidad es un estado de satisfacción y bienestar,15
4/24/2024 11:57:08,S2ATVULP,la vida,la vida,2
4/24/2024 11:58:50,GFSFOGBV,Realiza cada una de tus acciones como si fueran la ultima,Realiza cada una de tus acciones como si fueran la ultima,14
4/24/2024 12:03:52,DPW9GBQ3,"La felicidad es un sentimiento pasajero, es una reacción del cuerpo cuando las preocupaciones y problemas del entorno desaparecen y solo importa vivir el momento al máximo.","La felicidad es un sentimiento pasajero, es una reacción del cuerpo cuando las preocupaciones y problemas del entorno desaparecen y solo importa vivir el momento al máximo.",39
4/24/2024 12:10:15,2YB4F1WO,"Sentirse bien donde sea que estés, buscar el lado bueno de las cosas","Sentirse bien donde sea que estés, buscar el lado bueno de las cosas",17
4/24/2024 12:11:29,LOKQGFF4,"Podría ser la obtención de algún beneficio, reconocimiento, tranquilidad o lograr cumplir alguna meta o objetivo después de realizar algún esfuerzo y que este haya valido la pena, o también podría ser la presentación de alguna oportunidad que pueda cambiar o mejorar mi situación actual para mejor","Podría ser la obtención de algún beneficio, reconocimiento, tranquilidad o lograr cumplir alguna meta o objetivo después de realizar algún esfuerzo y que este haya valido la pena, o también podría ser la presentación de alguna oportunidad que pueda cambiar o mejorar mi situación actual para mejor",57
4/24/2024 12:19:11,LI6RUZZW,"La felicidad puede estar en muchas cosas (personas, actividades físicas, musica, eventos sociales, etc.) Pero al final la felicidad está en uno mismo, en cómo elegimos ver la vida y cómo nos vemos a nosotros mismos. Podrá haber personas increíbles a nuestro alrededor, podremos ser buenos deportistas, podremos escuchar toda la música que queramos, podremos ir a fiestas y aún así no ser felices. Por eso debemos ver la vida desde una perspectiva diferente, aprender a querernos a nosotros mismos y así empezaremos a encontrar la felicidad.","La felicidad puede estar en muchas cosas (personas, actividades físicas, musica, eventos sociales, etc.) Pero al final la felicidad está en uno mismo, en cómo elegimos ver la vida y cómo nos vemos a nosotros mismos. Podrá haber personas increíbles a nuestro alrededor, podremos ser buenos deportistas, podremos escuchar toda la música que queramos, podremos ir a fiestas y aún así no ser felices. Por eso debemos ver la vida desde una perspectiva diferente, aprender a querernos a nosotros mismos y así empezaremos a encontrar la felicidad.",134
4/24/2024 12:20:06,VHUGEE7Y,"Que no la pienses demasiado, solo hazlo y ya, no pasa nada ! la vida es corta ","Que no la pienses demasiado, solo hazlo y ya, no pasa nada ! la vida es corta",23
4/24/2024 12:24:41,U5RVW5N7,La felicidad es vivir en armonía con uno mismo y los demás,La felicidad es vivir en armonía con uno mismo y los demás,15
4/24/2024 12:25:11,NG3F2CJ4,"La felicidad está en aquellas cosas que te hacen creer que vale la pena vivir, una persona, una mascota, un sentimiento que te haga sentir bien.","La felicidad está en aquellas cosas que te hacen creer que vale la pena vivir, una persona, una mascota, un sentimiento que te haga sentir bien.",37
4/24/2024 12:26:00,ETSMGZBD,"Sentirte bien contigo, y disfrutar lo que haces ","Sentirte bien contigo, y disfrutar lo que haces",15
4/24/2024 12:33:39,AY3IGV3Q,"Morir sin arrepentimientos, todas las acciones A siempre tendrán una consecuencia B inevitablemente, así mismo, todas las personas en algún momento morirían inevitablemente, no sabemos si en algún momento se cumplan esos clichés de cumplir nuestro propósito, o hacer realidad los sueños, por eso debes vivir la vida con la mayor libertad posible siempre también respetando y apoyando la libertad de los demás, así cualquiera podría morir con una sonrisa. ","Morir sin arrepentimientos, todas las acciones A siempre tendrán una consecuencia B inevitablemente, así mismo, todas las personas en algún momento morirían inevitablemente, no sabemos si en algún momento se cumplan esos clichés de cumplir nuestro propósito, o hacer realidad los sueños, por eso debes vivir la vida con la mayor libertad posible siempre también respetando y apoyando la libertad de los demás, así cualquiera podría morir con una sonrisa.",103
4/24/2024 12:38:17,EUW2F405,"La felicidad se encuentra en las pequeñas cosas de la vida, en los momentos simples y sinceros que nos llenan de alegría y gratitud. Es la sonrisa de un ser querido, el abrazo cálido en un día frío, la risa compartida en una conversación amena. La felicidad es sentirnos plenos y en paz con nosotros mismos y con el mundo que nos rodea, disfrutando cada instante y encontrando belleza en lo cotidiano.","La felicidad se encuentra en las pequeñas cosas de la vida, en los momentos simples y sinceros que nos llenan de alegría y gratitud. Es la sonrisa de un ser querido, el abrazo cálido en un día frío, la risa compartida en una conversación amena. La felicidad es sentirnos plenos y en paz con nosotros mismos y con el mundo que nos rodea, disfrutando cada instante y encontrando belleza en lo cotidiano.",111
4/24/2024 12:53:16,ZLQAYMFG,"Sentirte en armonía contigo mismo con lo que haces con lo que eres y con lo que vas a hacer, priorizandose como persona y siendo ético y moral con las personas en el proceso.","Sentirte en armonía contigo mismo con lo que haces con lo que eres y con lo que vas a hacer, priorizandose como persona y siendo ético y moral con las personas en el proceso.",45
4/24/2024 12:56:33,LQY5OSVH,Ser el mismo sin miedo a los prejuicios ,Ser el mismo sin miedo a los prejuicios,11
4/24/2024 13:03:03,Y5I54ZU1,Amistad ,Amistad,2
4/24/2024 13:30:30,1Y7ATVYP,"Poder hacer lo que te gusta sin ninguna preocupación económica, emocional, etc. y comprar unos tenis ","Poder hacer lo que te gusta sin ninguna preocupación económica, emocional, etc. y comprar unos tenis",25
4/24/2024 13:43:01,U3RWWQRL,Estar tranquilo y disfrutar mi día sin necesidad de sentirme una persona culpable.,Estar tranquilo y disfrutar mi día sin necesidad de sentirme una persona culpable.,22
4/24/2024 13:48:24,EG8V8IQ1,Confía en el proceso ese es la frase que más me identifica ,Confía en el proceso ese es la frase que más me identifica,14
4/24/2024 14:34:04,POQ9TK13,La felicidad no es algo que se busque si no que llega con buenas decisiones y personas que te ayudan ,La felicidad no es algo que se busque si no que llega con buenas decisiones y personas que te ayudan,24
4/24/2024 15:03:56,VONE103T,Los pequeños momentos efímeros de la vida a los que todos somos adictos ,Los pequeños momentos efímeros de la vida a los que todos somos adictos,18
4/24/2024 15:34:08,893V9WHU,"La felicidad no es un estado permanente, son instantes de satisfacción. ","La felicidad no es un estado permanente, son instantes de satisfacción.",19
4/24/2024 15:43:23,JPFVNJKI,Sentir pleno y completo contigo mismo,Sentir pleno y completo contigo mismo,8
4/24/2024 15:48:07,QU685VKV,Las personas con las que me agrada estar.,Las personas con las que me agrada estar.,10
4/24/2024 15:54:20,Z6ZGAS4H,"Lograr todo lo que el personaje principal sueñe y se proponga, a pesar de lo que los demás piensen y digan, pero sin lastimar o humillar.  
Lo único que importa es el bienestar propio","Lograr todo lo que el personaje principal sueñe y se proponga, a pesar de lo que los demás piensen y digan, pero sin lastimar o humillar. Lo único que importa es el bienestar propio",50
4/24/2024 16:24:34,I7OEHA3M,no creo que exista una felicidad total simplemente son momentos que ocurren en momentos por lo que la felicidad seria disfrutar cada momento sean buenos o malos (ver el lado bueno de las cosas),no creo que exista una felicidad total simplemente son momentos que ocurren en momentos por lo que la felicidad seria disfrutar cada momento sean buenos o malos (ver el lado bueno de las cosas),48
4/24/2024 16:25:34,945RIESS,"Encontrar el sentido de vivir, superarme a mi mismo, progresar, aumentar mi calidad de vida, estudiar hasta hartarme de conocimiento, reventar de información, y descubrir si realmente tiene sentido vivir hoy. Toda la vida es un constructor social, estudiar, trabajar, ganar dinero, ¿quien define que es lo correcto y lo incorrecto?,  ¿Dios existe?, encontrar respuesta a todas las preguntas existentes, y describir si vale la pena vivir, ¿Por qué no me suicide hace 9 años en ese intento?, ¿Por qué no me suicido mañana o en un mes?, ¿Que pasará? ¿Que vale la vida?, solo ideas, opiniones y pensamientos de las personas cercanas... Es todo un chiste. La felicidad es la búsqueda del sentido de la vida. Mis escritores favoritos son Nietzsche y Viktor Frankl.","Encontrar el sentido de vivir, superarme a mi mismo, progresar, aumentar mi calidad de vida, estudiar hasta hartarme de conocimiento, reventar de información, y descubrir si realmente tiene sentido vivir hoy. Toda la vida es un constructor social, estudiar, trabajar, ganar dinero, ¿quien define que es lo correcto y lo incorrecto?, ¿Dios existe?, encontrar respuesta a todas las preguntas existentes, y describir si vale la pena vivir, ¿Por qué no me suicide hace 9 años en ese intento?, ¿Por qué no me suicido mañana o en un mes?, ¿Que pasará? ¿Que vale la vida?, solo ideas, opiniones y pensamientos de las personas cercanas... Es todo un chiste. La felicidad es la búsqueda del sentido de la vida. Mis escritores favoritos son Nietzsche y Viktor Frankl.",189
4/24/2024 16:42:06,OY89I1AT,Sentirme bien conmigo mismos y con los que me rodean ,Sentirme bien conmigo mismos y con los que me rodean,14
4/24/2024 17:26:44,MHA8ZTS5,Paz y tranquilidad en el presente ,Paz y tranquilidad en el presente,9
4/24/2024 18:05:56,RA4Y9X5E,"La felicidad para mi no solo lo causa una cosa, sino es conjunto de situaciones que hacen que tengas felicidad, por ejemplo una de ellas podria ser, para mi, alcansar un objetivo que tengo en la vida y concluirlo con exito, otra seria estar con mis seres queridos conviviendo, otro seria tener estabilidad economica, tambien tener salud y hay muchas mas, osea que la felicidad es un conjunto de cosas de las cuales nos agradan dependiendo de la perspectiva de cada persona y puede variar dependiendo de personalidad de cada quien.","La felicidad para mi no solo lo causa una cosa, sino es conjunto de situaciones que hacen que tengas felicidad, por ejemplo una de ellas podria ser, para mi, alcansar un objetivo que tengo en la vida y concluirlo con exito, otra seria estar con mis seres queridos conviviendo, otro seria tener estabilidad economica, tambien tener salud y hay muchas mas, osea que la felicidad es un conjunto de cosas de las cuales nos agradan dependiendo de la perspectiva de cada persona y puede variar dependiendo de personalidad de cada quien.",123
4/24/2024 18:20:17,LXDB8W6X,John lennon decía todo lo que necesitas es amor ,John lennon decía todo lo que necesitas es amor,13
4/24/2024 18:20:36,G6ZRICXV,Igualdad para todos.,Igualdad para todos.,6
4/24/2024 18:27:11,S1Z2D8M2,No tendria respueta alguna por el momento,No tendria respueta alguna por el momento,10
4/24/2024 19:06:32,RC5G5VFK,Lo que te llena de felicidades así sea la más mínima cosa ese segundos donde solo te enfocas en reírte o disfrutar el momento ,Lo que te llena de felicidades así sea la más mínima cosa ese segundos donde solo te enfocas en reírte o disfrutar el momento,33
4/24/2024 19:07:31,947J0Q5A,"No preocuparse en situaciones fuera de mi control, aceptar las situaciones en las que me he equivocado y buscar soluciones para ser mejor persona sabiendo que voy por un buen camino","No preocuparse en situaciones fuera de mi control, aceptar las situaciones en las que me he equivocado y buscar soluciones para ser mejor persona sabiendo que voy por un buen camino",41
4/24/2024 19:40:22,W9LAW009,"Estar en un lugar seguro y tranquilo donde sientas que perteneces, donde podrás pasar tiempo con tus seres queridos y donde podrás disfrutar tus actividades favoritas en tu tiempo.","Estar en un lugar seguro y tranquilo donde sientas que perteneces, donde podrás pasar tiempo con tus seres queridos y donde podrás disfrutar tus actividades favoritas en tu tiempo.",45
4/24/2024 19:48:20,2QH0OQRP,"La felicidad está relaciona con reírse fuertemente con las personas que quieres, y darse cuenta que a pesar de todo lo malo, hay motivos para seguir ahí; la felicidad se trata de amar, querer, sentir intensamente, sin miedo a perder, equivocarse, a sufrir; como una noche oscura llena de estrellas ","La felicidad está relaciona con reírse fuertemente con las personas que quieres, y darse cuenta que a pesar de todo lo malo, hay motivos para seguir ahí; la felicidad se trata de amar, querer, sentir intensamente, sin miedo a perder, equivocarse, a sufrir; como una noche oscura llena de estrellas",79
4/24/2024 19:53:13,9FBVNJ3U,la felicidad es el aprecio por momentos que nos hacen sentir plenos ,la felicidad es el aprecio por momentos que nos hacen sentir plenos,16
4/24/2024 20:57:53,IRIJAUXK,"La felicidad no siempre tiene un significado, pues puede ser esporádica y sin razón aparte, diría que muchas veces es la manifestación de lo que tenemos en el corazón.","La felicidad no siempre tiene un significado, pues puede ser esporádica y sin razón aparte, diría que muchas veces es la manifestación de lo que tenemos en el corazón.",41
4/24/2024 21:00:13,H7ZSLKYX,Es el calor de un beso y un abrazo de quienes mas amas y el recuerdo delo aprendido para ser mejor.,Es el calor de un beso y un abrazo de quienes mas amas y el recuerdo delo aprendido para ser mejor.,29
4/24/2024 22:49:25,ZNQELPB7,Lograr la autorrealización.,Lograr la autorrealización.,8
4/24/2024 23:23:27,J9Q8IXFH,que no importa la situación donde estés siempre mantente alegre ,que no importa la situación donde estés siempre mantente alegre,14
4/24/2024 23:33:27,2ON6FVSH,Estar con personas que te den buena vibra,Estar con personas que te den buena vibra,10
4/25/2024 9:36:25,ES771SD8,"El amor, dar y saber recibirlo de las personas que me importan y que quiero, darlo sin miedos ni trabas y saber saborearlo cuando lo recibo","El amor, dar y saber recibirlo de las personas que me importan y que quiero, darlo sin miedos ni trabas y saber saborearlo cuando lo recibo",39
4/25/2024 10:52:29,FZRWA0SY,"La felicidad es la tranquilidad de estar en paz consigo mismo, y disfrutar de los pequeños momentos de la vida , con las personas que uno quiere .","La felicidad es la tranquilidad de estar en paz consigo mismo, y disfrutar de los pequeños momentos de la vida , con las personas que uno quiere .",38
4/25/2024 11:40:29,1KWDDNOH,"Yo creo que la felicidad está en las pequeñeces de la vida. Respirar, comer, jugar, ser libre, y convivir con la gente.","Yo creo que la felicidad está en las pequeñeces de la vida. Respirar, comer, jugar, ser libre, y convivir con la gente.",39
4/25/2024 11:42:43,5CHTZV8O,"Para mí la felicidad significa estar con tus personas favoritas, estar en paz contigo y con tu entorno, saber que tienes el control de los aspectos de tu vida y poder experimentar cosas nuevas sin preocupaciones.","Para mí la felicidad significa estar con tus personas favoritas, estar en paz contigo y con tu entorno, saber que tienes el control de los aspectos de tu vida y poder experimentar cosas nuevas sin preocupaciones.",49
4/25/2024 12:15:55,RQF9W09V,Paz mental,Paz mental,2
4/25/2024 12:16:44,Q7YR6JAL,"La felicidad es una sensación (u otra) lo cual es momentáneo, no sobresaliente y con deseos de estar constantemente, pero no siempre es así, incluso aveces fantasía.","La felicidad es una sensación (u otra) lo cual es momentáneo, no sobresaliente y con deseos de estar constantemente, pero no siempre es así, incluso aveces fantasía.",44
4/25/2024 12:21:21,YMU2FALS,Autosuficiencia ,Autosuficiencia,4
4/25/2024 12:28:34,BUUJHLBW,"En la superación de los límites, la autosuficiencia, la auto aceptación en la búsqueda del mayor desarrollo personal así como la forma de enfrentar a la vida lo mejor posible para elegir el mejor camino para uno mismo, o mejor dicho ""una buena vida en la que pueda estar tranquilo sabiendo que logré hacer todo lo que me propuse""","En la superación de los límites, la autosuficiencia, la auto aceptación en la búsqueda del mayor desarrollo personal así como la forma de enfrentar a la vida lo mejor posible para elegir el mejor camino para uno mismo, o mejor dicho ""una buena vida en la que pueda estar tranquilo sabiendo que logré hacer todo lo que me propuse""",76
4/25/2024 12:54:19,6OG08UL5,"Escribir una historia donde pueda expresar como se sienta, creando y construyendo cosas desde cero por su propia cuenta","Escribir una historia donde pueda expresar como se sienta, creando y construyendo cosas desde cero por su propia cuenta",26
