Marca_Temporal,ID_Unico,Texto,Texto_Limpio,Longitud_Tokens,Emocion
4/23/2024 19:48:07,XH7ERTSE,"En las mañanas cuando tengo que tomar el transporte a la universisdad, en las tardes cuando comienza a  anochecer. Durante la cena y la madrugada cuando hago tareas.","En las mañanas cuando tengo que tomar el transporte a la universisdad, en las tardes cuando comienza a anochecer. Durante la cena y la madrugada cuando hago tareas.",41,Felicidad
4/23/2024 19:48:07,HNAK6DR5,Estando con mis amigos ,Estando con mis amigos,5,Felicidad
4/23/2024 19:48:07,IAADDB7O,"Al comer, después de ver a mi familia y después de terminar una actividad pendiente ","Al comer, después de ver a mi familia y después de terminar una actividad pendiente",18,Felicidad
4/23/2024 19:48:07,7FKG0LV6,Cuando salgo o convivo con personas de mi interés ,Cuando salgo o convivo con personas de mi interés,12,Felicidad
4/23/2024 19:48:07,HJB227EF,cuando estoy con mis amigos o mi novia,cuando estoy con mis amigos o mi novia,9,Felicidad
4/23/2024 19:48:07,GBDDJNH0,Cuando estoy acompañada de amigos que confío mucho y que me hagan sentir segura.,Cuando estoy acompañada de amigos que confío mucho y que me hagan sentir segura.,23,Felicidad
4/23/2024 19:48:07,9ZRTSOTK,Cuando recibo una buena noticia en mi día o logro algún objetivo.,Cuando recibo una buena noticia en mi día o logro algún objetivo.,16,Felicidad
4/23/2024 19:48:07,0FQMQ0V1,Al estar con mi familia o amigos o jugar en linea con amigos,Al estar con mi familia o amigos o jugar en linea con amigos,13,Felicidad
4/23/2024 19:48:07,60S1CVNZ,Consiguiendo metas y éxitos ,Consiguiendo metas y éxitos,8,Felicidad
4/23/2024 19:48:07,GKU8ECFL,Cuando estoy con mi novia o cuando cumplo algo que me propongo ,Cuando estoy con mi novia o cuando cumplo algo que me propongo,15,Felicidad
4/23/2024 19:48:07,WED8UH5D,Al convivir con mis amigos ,Al convivir con mis amigos,7,Felicidad
4/23/2024 19:48:07,FM5YVNM2,"Cuando me va bien en la Uni, estoy en familia en un ambiente bueno y cuando estoy con mi novio. ","Cuando me va bien en la Uni, estoy en familia en un ambiente bueno y cuando estoy con mi novio.",26,Felicidad
4/23/2024 19:48:07,TOKIQV38,"Cuando estoy con mis amigos, o cuando las cosas del día a día salen bien.","Cuando estoy con mis amigos, o cuando las cosas del día a día salen bien.",19,Felicidad
4/23/2024 19:48:16,QHVZR83J,"1.Cuando tengo tiempo para escuchar o ver videos de mi banda favorita.
2.Cuando estoy con toda mi familia comiendo, viendo peliculas o platicando acerca de algun tema por el cual todos estamos interesados.","1.Cuando tengo tiempo para escuchar o ver videos de mi banda favorita. 2.Cuando estoy con toda mi familia comiendo, viendo peliculas o platicando acerca de algun tema por el cual todos estamos interesados.",53,Felicidad
4/23/2024 19:52:34,QXIEYINQ,Cuando estoy pasado el rato con mis amigos o durante un entrenamiento.,Cuando estoy pasado el rato con mis amigos o durante un entrenamiento.,15,Felicidad
4/23/2024 20:03:37,KLWAYA6Z,"Cuando estoy con mis amigos, cuando veo alguna serie. Me he sentido muy feliz últimamente porque estoy investigando sobre nuevas cosas de mi carrera","Cuando estoy con mis amigos, cuando veo alguna serie. Me he sentido muy feliz últimamente porque estoy investigando sobre nuevas cosas de mi carrera",32,Felicidad
4/23/2024 20:13:28,U57VENCU,"Cuando paso tiempo con mi novio, cuando leo y cuando escucho música","Cuando paso tiempo con mi novio, cuando leo y cuando escucho música",16,Felicidad
4/23/2024 20:13:37,A2IERC7W,"En el gimnasio, en mis prácticas y mientras estudio ","En el gimnasio, en mis prácticas y mientras estudio",12,Felicidad
4/23/2024 20:18:00,9N5PTUUF,Cuando hallo paz,Cuando hallo paz,4,Felicidad
4/23/2024 20:28:40,SXA26XSC,"Salir con mi novia, estar con mis mascotas ","Salir con mi novia, estar con mis mascotas",12,Felicidad
4/23/2024 20:30:08,XEDRH93Z,Cuando visito a mi familia y juego videojuegos con mis primos.,Cuando visito a mi familia y juego videojuegos con mis primos.,15,Felicidad
4/23/2024 20:43:09,S8Y84CH8,"Volví a ver a mi amiga después de 5 años, salí con un amigo a ver una película de un anime que nos gusta mucho, pude inscribir mis prácticas profesionales, le conté a una amiga que casi no comía porque no estoy en casa la mayor parte del día y me compró comida; uno de mis amigos me prestó un libro que esperaba leer con muchas ansias, en la iglesia cantamos un himno que pedí porque me gusta mucho y por último canté junto con mis compañeros en el teatro de la ciudad y nos divertimos mucho. ","Volví a ver a mi amiga después de 5 años, salí con un amigo a ver una película de un anime que nos gusta mucho, pude inscribir mis prácticas profesionales, le conté a una amiga que casi no comía porque no estoy en casa la mayor parte del día y me compró comida; uno de mis amigos me prestó un libro que esperaba leer con muchas ansias, en la iglesia cantamos un himno que pedí porque me gusta mucho y por último canté junto con mis compañeros en el teatro de la ciudad y nos divertimos mucho.",123,Felicidad
4/23/2024 20:44:26,HG74CPSK,Cuando me sale todo como lo planeo ,Cuando me sale todo como lo planeo,8,Felicidad
4/23/2024 21:02:39,L2RH302J,Ultimamente siento bastante felicidad cuando convivo jugando con mis amigos.,Ultimamente siento bastante felicidad cuando convivo jugando con mis amigos.,17,Felicidad
4/23/2024 21:05:33,FN2PCHS1,"Al estar con mi familia, mi pareja o mis mascotas. Igualmente cuando salgo bien con cosas de la escuela","Al estar con mi familia, mi pareja o mis mascotas. Igualmente cuando salgo bien con cosas de la escuela",26,Felicidad
4/23/2024 21:10:29,GUS8V807,"Al salir con mis amigos, ver a mi familia, en mis hobiies y en terminar mis tareas.","Al salir con mis amigos, ver a mi familia, en mis hobiies y en terminar mis tareas.",22,Felicidad
4/23/2024 21:26:04,3GGBO8RK,"Cuando juego futbol y mi equipo va ganando o no me tomo tan enserio el partido, cuando completo una tarea rápido o una tarea complicada y cuando convivo con mis amigos.","Cuando juego futbol y mi equipo va ganando o no me tomo tan enserio el partido, cuando completo una tarea rápido o una tarea complicada y cuando convivo con mis amigos.",40,Felicidad
4/23/2024 21:27:00,3DA9WB82,"Estando con mi pareja, organizando un proyecto y que salga bien","Estando con mi pareja, organizando un proyecto y que salga bien",15,Felicidad
4/23/2024 21:37:25,4SUVP1WR,Cuando salgo con mis amigos y cuando llego a casa.,Cuando salgo con mis amigos y cuando llego a casa.,13,Felicidad
4/23/2024 22:47:07,JOAT36RK,"Actividades al aire libre, viajar, hablar con mis amigos","Actividades al aire libre, viajar, hablar con mis amigos",13,Felicidad
4/23/2024 22:57:11,53EHQAPE,Últimamente me he sentido alegre cuando pasó tiempo de calidad con mi familia o amigos. También al finalizar o alcanzar logros académicos. ,Últimamente me he sentido alegre cuando pasó tiempo de calidad con mi familia o amigos. También al finalizar o alcanzar logros académicos.,30,Felicidad
4/23/2024 23:46:42,PVDRLPQL,"En general, todo el tiempo, no son situaciones concretas de alegría sino de disfrutar con lo que hago y con lo que soy todo el","En general, todo el tiempo, no son situaciones concretas de alegría sino de disfrutar con lo que hago y con lo que soy todo el",34,Felicidad
4/23/2024 23:57:44,K8SLYVAW,"Al pasar tiempo con mi familia y amigos, esto me permite sentirme en un espacio seguro, lo cuál traduzco a seguridad y confianza; de igual manera el lograr completar un reto que se me presente o me proponga a mi mismo, ambas situaciones engloban una sensación de alegría y satisfacción durante estos días.","Al pasar tiempo con mi familia y amigos, esto me permite sentirme en un espacio seguro, lo cuál traduzco a seguridad y confianza; de igual manera el lograr completar un reto que se me presente o me proponga a mi mismo, ambas situaciones engloban una sensación de alegría y satisfacción durante estos días.",72,Felicidad
4/24/2024 0:02:54,TUNKCUEZ,"Cuando convivo con mi familia, amigos y pareja, o tengo logros o nuevas metas","Cuando convivo con mi familia, amigos y pareja, o tengo logros o nuevas metas",21,Felicidad
4/24/2024 1:16:24,5I7IDE86,"Las situaciones que me hacen sentir feliz es cuando estoy en el GYM haciendo mis rutinas de cada día, al ir con los chicos del coro para cantarle alabanzas a Dios, estar con mi hermanita riendo, leer libros de romance, ver mis series favoritas y estar con amigos o familiares que me hacen sentir cómoda. ","Las situaciones que me hacen sentir feliz es cuando estoy en el GYM haciendo mis rutinas de cada día, al ir con los chicos del coro para cantarle alabanzas a Dios, estar con mi hermanita riendo, leer libros de romance, ver mis series favoritas y estar con amigos o familiares que me hacen sentir cómoda.",74,Felicidad
4/24/2024 10:55:51,WG8ABYZS,"Ninguna, todo actualmente me da igual ","Ninguna, todo actualmente me da igual",9,Felicidad
4/24/2024 11:16:48,QCURT76I,con mi familia y amigos,con mi familia y amigos,5,Felicidad
4/24/2024 11:24:06,8OVFX977,"Cuando escucho música, cuando estoy tranquilo ","Cuando escucho música, cuando estoy tranquilo",13,Felicidad
4/24/2024 11:27:42,PPZXS8CP,Cuando hablo con mis amigos o salimos a algún lado.,Cuando hablo con mis amigos o salimos a algún lado.,13,Felicidad
4/24/2024 11:28:12,T38J7JB4,"AMIGOS, PAREJA, PRACTICANDO UNA DISCIPLINA, AUMENTAR PESOS EN GYM","AMIGOS, PAREJA, PRACTICANDO UNA DISCIPLINA, AUMENTAR PESOS EN GYM",35,Felicidad
4/24/2024 11:29:56,TE4FJ4MH,"Cuando estoy con mis amigos,cuando salgo a pasear,cuando juego videojuegos ya sea solo o con mis primos ","Cuando estoy con mis amigos,cuando salgo a pasear,cuando juego videojuegos ya sea solo o con mis primos",26,Felicidad
4/24/2024 11:30:15,ZELPD30F,"Cuando estoy solo,  con mis homs de mi barrio, con mi familia. ","Cuando estoy solo, con mis homs de mi barrio, con mi familia.",17,Felicidad
4/24/2024 11:31:24,PUV5RTZG,"Al estar con mi pareja es muy tranquilizante y feliz, ya que me siento tranquilo, y al estar con mi mamá, tambien es mucha felicidad ","Al estar con mi pareja es muy tranquilizante y feliz, ya que me siento tranquilo, y al estar con mi mamá, tambien es mucha felicidad",40,Felicidad
4/24/2024 11:32:16,33JDURG7,"Cuando estoy en los entrenamientos del deporte que me gusta me siento muy contenta, también cuando hago la comida en mi casa y la receta me sale muy bien ","Cuando estoy en los entrenamientos del deporte que me gusta me siento muy contenta, también cuando hago la comida en mi casa y la receta me sale muy bien",38,Felicidad
4/24/2024 11:32:59,EAM2O87V,Escuchando música. Jugando videojuegos. Saliendo con mi pareja o amigos. Hablando con mi mamá.,Escuchando música. Jugando videojuegos. Saliendo con mi pareja o amigos. Hablando con mi mamá.,27,Felicidad
4/24/2024 11:33:22,H22AN93K,Al regresar a casa,Al regresar a casa,4,Felicidad
4/24/2024 11:35:28,IRB84959,"Aprobando exámenes, pasando tiempo libre e invirtiendo tiempo en mi ","Aprobando exámenes, pasando tiempo libre e invirtiendo tiempo en mi",18,Felicidad
4/24/2024 11:39:35,XOF6KQ1G,Cuando estoy con mi novia y amigos,Cuando estoy con mi novia y amigos,8,Felicidad
4/24/2024 11:40:06,1GC9M0FT,Jugando ,Jugando,2,Felicidad
4/24/2024 11:41:02,DZ9DN7BK,Estar con amigos ,Estar con amigos,4,Felicidad
4/24/2024 11:41:30,ZF56737V,"No hay mucha últimamente, pero me sentí bien pasando los primeros filtros en un programa de becas por parte de VW","No hay mucha últimamente, pero me sentí bien pasando los primeros filtros en un programa de becas por parte de VW",26,Felicidad
4/24/2024 11:53:22,HGX6HZA2,Ver a mi familia sana,Ver a mi familia sana,5,Felicidad
4/24/2024 11:57:08,S2ATVULP,"Cuando me compro cosas, o salgo con amigos","Cuando me compro cosas, o salgo con amigos",11,Felicidad
4/24/2024 11:58:50,GFSFOGBV,"Cuando cumplo mis metas a corto plazo, o situaciones de exito","Cuando cumplo mis metas a corto plazo, o situaciones de exito",15,Felicidad
4/24/2024 12:03:52,DPW9GBQ3,"Las veces en las que yo siento alegría tienen que ver con experiencias nuevas, cuando fui al concierto de mi artista favorito junto a mi mejor amigo, cuando viaje pata volver a ver a la persona que amaba.","Las veces en las que yo siento alegría tienen que ver con experiencias nuevas, cuando fui al concierto de mi artista favorito junto a mi mejor amigo, cuando viaje pata volver a ver a la persona que amaba.",49,Felicidad
4/24/2024 12:10:15,2YB4F1WO,"Cuando juego, cuando juego con mis amigos, cuando salgo a algún lado","Cuando juego, cuando juego con mis amigos, cuando salgo a algún lado",15,Felicidad
4/24/2024 12:11:29,LOKQGFF4,"Cuando logro completar algo, como una tarea, trabajo o proyecto, también cuando juego y me sorprendo de repente por alguna jugada bien hecha o que ni yo se como logre hacerla, también cuando siento que alguna relación es recíproca y cuando logro obtener soluciones rápidas y efectivas a algún problema que se me presente.","Cuando logro completar algo, como una tarea, trabajo o proyecto, también cuando juego y me sorprendo de repente por alguna jugada bien hecha o que ni yo se como logre hacerla, también cuando siento que alguna relación es recíproca y cuando logro obtener soluciones rápidas y efectivas a algún problema que se me presente.",74,Felicidad
4/24/2024 12:19:11,LI6RUZZW,"Cuando salgo en las tardes a rodar en la bici, cuando preparo mi comida, cuando veo alguna película en el cine, cuando compro algo que quería, cuandin escucho ciertas canciones, cuando puedo apoyar a un amigo con algo","Cuando salgo en las tardes a rodar en la bici, cuando preparo mi comida, cuando veo alguna película en el cine, cuando compro algo que quería, cuandin escucho ciertas canciones, cuando puedo apoyar a un amigo con algo",56,Felicidad
4/24/2024 12:20:06,VHUGEE7Y,Al polvo ,Al polvo,3,Felicidad
4/24/2024 12:24:41,U5RVW5N7,Al acabar un proyecto,Al acabar un proyecto,4,Felicidad
4/24/2024 12:25:11,NG3F2CJ4,"Cuando paso tiempo con mis amigos, mi pareja y mi familia ","Cuando paso tiempo con mis amigos, mi pareja y mi familia",12,Felicidad
4/24/2024 12:26:00,ETSMGZBD,Cuando practico mi hobby favorito ,Cuando practico mi hobby favorito,8,Felicidad
4/24/2024 12:33:39,AY3IGV3Q,"Pues diario veo a mis amigos, y esas convivencias me alegra, sobre todo cuando hacemos bromas o nos quedamos jugando videojuegos mientras esperamos la próxima clase, también en el gym cuando puedo superar mis records, o levantar más peso, siento alegría de saber que estoy progresando, eso en el instante, pero a la larga me queda un sentimiento de satisfacción.
Ver sonreír a la chica que me gusta o cuando logra una meta también es bonito, más que nada tener esa sensación de ver que le va bien en la vida, me genera alegría","Pues diario veo a mis amigos, y esas convivencias me alegra, sobre todo cuando hacemos bromas o nos quedamos jugando videojuegos mientras esperamos la próxima clase, también en el gym cuando puedo superar mis records, o levantar más peso, siento alegría de saber que estoy progresando, eso en el instante, pero a la larga me queda un sentimiento de satisfacción. Ver sonreír a la chica que me gusta o cuando logra una meta también es bonito, más que nada tener esa sensación de ver que le va bien en la vida, me genera alegría",135,Felicidad
4/24/2024 12:38:17,EUW2F405,"En algún logro (personal o de un amigo), alguna noticia agradable.","En algún logro (personal o de un amigo), alguna noticia agradable.",18,Felicidad
4/24/2024 12:53:16,ZLQAYMFG,Cuando juego videojuegos o estoy en el gimnasio me genera satisfacción y alegría.,Cuando juego videojuegos o estoy en el gimnasio me genera satisfacción y alegría.,23,Felicidad
4/24/2024 12:56:33,LQY5OSVH,Haciendo deporte,Haciendo deporte,3,Felicidad
4/24/2024 13:03:03,Y5I54ZU1,Cuándo estoy con amigos ,Cuándo estoy con amigos,7,Felicidad
4/24/2024 13:30:30,1Y7ATVYP,Comprando tenis,Comprando tenis,4,Felicidad
4/24/2024 13:43:01,U3RWWQRL,Cuando dejo de sobrepensar,Cuando dejo de sobrepensar,7,Felicidad
4/24/2024 13:48:24,EG8V8IQ1,"Cuando estoy con mi familia, cuando me pagan en el trabajo y cuando estoy con mi pareja ","Cuando estoy con mi familia, cuando me pagan en el trabajo y cuando estoy con mi pareja",21,Felicidad
4/24/2024 14:34:04,POQ9TK13,Cuando salgo solo ,Cuando salgo solo,4,Felicidad
4/24/2024 15:03:56,VONE103T,"Creo que al momento de estar relajado con amigos, y al llegar a casa ","Creo que al momento de estar relajado con amigos, y al llegar a casa",18,Felicidad
4/24/2024 15:34:08,893V9WHU,El recibir mi título electrónico y obtener respuestas favorables acerca de una vacante ya que podré desenvolverme en el ambiente hospitalario ,El recibir mi título electrónico y obtener respuestas favorables acerca de una vacante ya que podré desenvolverme en el ambiente hospitalario,26,Felicidad
4/24/2024 15:43:23,JPFVNJKI,Cuando hago actividades que me gustan como bailar,Cuando hago actividades que me gustan como bailar,11,Felicidad
4/24/2024 15:48:07,QU685VKV,Cuando estoy con cierta persona que me agrada.,Cuando estoy con cierta persona que me agrada.,11,Felicidad
4/24/2024 15:54:20,Z6ZGAS4H,"En el ámbito académico, cuando algún trabajo me sale, se siente una gran satisfacción al saber que puedo con ello . En lo personal, cuando estoy en compañía de mis amistades más cercanas ","En el ámbito académico, cuando algún trabajo me sale, se siente una gran satisfacción al saber que puedo con ello . En lo personal, cuando estoy en compañía de mis amistades más cercanas",44,Felicidad
4/24/2024 16:24:34,I7OEHA3M,con mi familia y cuando estoy con mis amigos (jugando videojuegos o platicando),con mi familia y cuando estoy con mis amigos (jugando videojuegos o platicando),19,Felicidad
4/24/2024 16:25:34,945RIESS,Cuando recibí la visa y compré vuelos para viajar a trabajar a EU,Cuando recibí la visa y compré vuelos para viajar a trabajar a EU,17,Felicidad
4/24/2024 16:42:06,OY89I1AT,Pasar tiempo con mi novio y mi familia,Pasar tiempo con mi novio y mi familia,9,Felicidad
4/24/2024 17:26:44,MHA8ZTS5,Al obtener aprendizaje nuevo,Al obtener aprendizaje nuevo,6,Felicidad
4/24/2024 18:05:56,RA4Y9X5E,Un poco estresado porque es final de semestre y por lo regular por estas fechas siempre hay muchos proyectos de por medio,Un poco estresado porque es final de semestre y por lo regular por estas fechas siempre hay muchos proyectos de por medio,24,Felicidad
4/24/2024 18:20:17,LXDB8W6X,Cuando estoy en paz ,Cuando estoy en paz,5,Felicidad
4/24/2024 18:20:36,G6ZRICXV,"Cuando juego videojuegos, en las horas de comida, cuando estudio algo que me gusta, cuando veo videos de YouTube, leer.","Cuando juego videojuegos, en las horas de comida, cuando estudio algo que me gusta, cuando veo videos de YouTube, leer.",28,Felicidad
4/24/2024 18:27:11,S1Z2D8M2,Ninguna,Ninguna,3,Felicidad
4/24/2024 19:06:32,RC5G5VFK,Obtener algo que sea a deseado ,Obtener algo que sea a deseado,9,Felicidad
4/24/2024 19:07:31,947J0Q5A,"Al pasar tiempo con mis amigos, sacar buenas calificaciones en los exámenes, dedicarle tiempo en mis pasatiempos","Al pasar tiempo con mis amigos, sacar buenas calificaciones en los exámenes, dedicarle tiempo en mis pasatiempos",28,Felicidad
4/24/2024 19:40:22,W9LAW009,"Rara vez, pero sería: cuando estoy en un lugar tranquilo (sin ruidos) solito; cuando estoy en áreas verdes; cuando comparto tiempo con mis hermano","Rara vez, pero sería: cuando estoy en un lugar tranquilo (sin ruidos) solito; cuando estoy en áreas verdes; cuando comparto tiempo con mis hermano",39,Felicidad
4/24/2024 19:48:20,2QH0OQRP,"Cuando pasó tiempo con personas que me agradan, cuando hago actividades que me gustan. ","Cuando pasó tiempo con personas que me agradan, cuando hago actividades que me gustan.",20,Felicidad
4/24/2024 19:53:13,9FBVNJ3U,"Cuando realizo actividades físicas , escuchar música o cuando obtengo algún logro o una felicitación a algo que realizo","Cuando realizo actividades físicas , escuchar música o cuando obtengo algún logro o una felicitación a algo que realizo",29,Felicidad
4/24/2024 20:57:53,IRIJAUXK,Cuando reacciono asertivamente a problemas emocionales que antes me causaban mal estar.,Cuando reacciono asertivamente a problemas emocionales que antes me causaban mal estar.,22,Felicidad
4/24/2024 21:00:13,H7ZSLKYX,Ver reunidos  a mis hijos ¡¡,Ver reunidos a mis hijos ¡¡,9,Felicidad
4/24/2024 22:49:25,ZNQELPB7,En momentos de juego y reuniones con amigos y/o familiares.,En momentos de juego y reuniones con amigos y/o familiares.,15,Felicidad
4/24/2024 23:23:27,J9Q8IXFH,por el momento ninguna,por el momento ninguna,4,Felicidad
4/24/2024 23:33:27,2ON6FVSH,Estar con amigos,Estar con amigos,4,Felicidad
4/25/2024 9:36:25,ES771SD8,"Cuando estoy con mis amigos haciendo cosas que me gustan, cuando estoy con mi mamá platicando sobre cosas que le pasan a ella o me pasan a mi, cuando voy a comer con mi papá ","Cuando estoy con mis amigos haciendo cosas que me gustan, cuando estoy con mi mamá platicando sobre cosas que le pasan a ella o me pasan a mi, cuando voy a comer con mi papá",47,Felicidad
4/25/2024 10:52:29,FZRWA0SY,"Al estar en contacto con mis seres queridos (Amigos, Familia , Conocidos),tambien  al finalizar alguna actividad con exito","Al estar en contacto con mis seres queridos (Amigos, Familia , Conocidos),tambien al finalizar alguna actividad con exito",28,Felicidad
4/25/2024 11:40:29,1KWDDNOH,"Cuando juego con mi hermanito, cuando gente se interesa por mi, cuando como la comida que me gusta","Cuando juego con mi hermanito, cuando gente se interesa por mi, cuando como la comida que me gusta",24,Felicidad
4/25/2024 11:42:43,5CHTZV8O,Cuando salgo con mis amigos o platico con ciertas personas,Cuando salgo con mis amigos o platico con ciertas personas,12,Felicidad
4/25/2024 12:15:55,RQF9W09V,Escuchando música o dibujando,Escuchando música o dibujando,10,Felicidad
4/25/2024 12:16:44,Q7YR6JAL,"Al momento de estar con amigos.
En momentos en los que regreso a mi casa y veo a la familia(ya que soy foráneo)
En momentos dónde consigo sobresalir en aspectos de mi vida.",Al momento de estar con amigos. En momentos en los que regreso a mi casa y veo a la familia(ya que soy foráneo) En momentos dónde consigo sobresalir en aspectos de mi vida.,46,Felicidad
4/25/2024 12:21:21,YMU2FALS,Cuando estoy con mis amigos y compartimos experiencias cómo salir juntos a platicar sobre temas en común.,Cuando estoy con mis amigos y compartimos experiencias cómo salir juntos a platicar sobre temas en común.,24,Felicidad
4/25/2024 12:28:34,BUUJHLBW,Cuando las cosas salen bien ,Cuando las cosas salen bien,6,Felicidad
4/25/2024 12:54:19,6OG08UL5,"Cuando logró realizar o completar las metas que me propongo, además de poder pasar tiempo con mis amigos","Cuando logró realizar o completar las metas que me propongo, además de poder pasar tiempo con mis amigos",21,Felicidad
4/25/2024 12:55:12,UYE2QAWR,Cuando me siento feliz,Cuando me siento feliz,5,Felicidad
4/25/2024 13:02:31,0YIJFHVF,"Si, no siempre pero mayormente si","Si, no siempre pero mayormente si",8,Felicidad
4/25/2024 13:31:22,0WK1Q15C,Cuando estoy conviviendo con mi familia/personas que quiero o haciendo cosas que me gustan,Cuando estoy conviviendo con mi familia/personas que quiero o haciendo cosas que me gustan,21,Felicidad
4/25/2024 14:51:28,89R7BFY3,Cuando obtengo una medalla de primer lugar en mi deporte,Cuando obtengo una medalla de primer lugar en mi deporte,12,Felicidad
4/25/2024 18:06:23,W8897XTA,Cuando estoy con  mis amigos o familia,Cuando estoy con mis amigos o familia,8,Felicidad
4/25/2024 18:26:25,MOXPM084,Cuando completo mis tareas y cuando gano en mis partidos de fútbol,Cuando completo mis tareas y cuando gano en mis partidos de fútbol,13,Felicidad
4/25/2024 18:32:43,DXF0Z2FN,En general mi estado de animo es alegre ,En general mi estado de animo es alegre,10,Felicidad
4/25/2024 18:42:00,NDMKZW1M,Cuando descanso o salgo a algún lugar,Cuando descanso o salgo a algún lugar,10,Felicidad
4/25/2024 19:18:17,A8QN8I2L,Cuando hago actividades que son de mi agrado ,Cuando hago actividades que son de mi agrado,10,Felicidad
4/25/2024 19:33:43,UBSR9VC8,Cuando comparto momentos con mis amigos o familiares ,Cuando comparto momentos con mis amigos o familiares,10,Felicidad
4/25/2024 19:38:25,W8ILZE4K,Al compartir momentos agradables con personas cercanas.,Al compartir momentos agradables con personas cercanas.,12,Felicidad
4/25/2024 19:49:50,ONSV8AYQ,"cuando estoy con mi amigo, o viendo alguna serie con comedia","cuando estoy con mi amigo, o viendo alguna serie con comedia",14,Felicidad
4/25/2024 20:20:12,OY7Q1STH,Tocando música en la marching band,Tocando música en la marching band,8,Felicidad
4/25/2024 21:18:09,A9SQ6NWO,Cuando estoy con mis amigos o haciendo ejercicio ,Cuando estoy con mis amigos o haciendo ejercicio,9,Felicidad
4/25/2024 21:55:05,1C8YLNRI,Cuando veo a mi familia ,Cuando veo a mi familia,6,Felicidad
4/25/2024 22:01:24,U8GAYRZ7,"Ver el cielo, ver como las hojas se mueven, comer algo que me gusta, estar con familiares, hacer algo que a mi me gusta, y consentirme ","Ver el cielo, ver como las hojas se mueven, comer algo que me gusta, estar con familiares, hacer algo que a mi me gusta, y consentirme",36,Felicidad
4/26/2024 6:49:03,F65E8SEA,"Me siento alegro cuando estoy haciendo actividades que no tengan que ver con la universidad, como pasar tiempo con mis amigos, ir al cine, ir al gimnasio o ver películas ","Me siento alegro cuando estoy haciendo actividades que no tengan que ver con la universidad, como pasar tiempo con mis amigos, ir al cine, ir al gimnasio o ver películas",39,Felicidad
4/26/2024 10:01:08,16UOLNVY,Cuando estoy con mis amigos en la universidad y cuando logro resolver mis tareas. ,Cuando estoy con mis amigos en la universidad y cuando logro resolver mis tareas.,17,Felicidad
4/26/2024 10:39:25,D1S2USQV,Cuando consigo entender un tema o alcanzo algún logro que me había propuesto ,Cuando consigo entender un tema o alcanzo algún logro que me había propuesto,19,Felicidad
4/26/2024 11:14:18,83ECQ6P2,"cuando veo a mi novia, cuando salgo a caminar, cuando paso tiempo con mi familia.","cuando veo a mi novia, cuando salgo a caminar, cuando paso tiempo con mi familia.",21,Felicidad
4/26/2024 11:50:56,LS7WFV2B,Cuando pude resolver algún problema en mi trabajo que ha ayudado a los clientes finales.,Cuando pude resolver algún problema en mi trabajo que ha ayudado a los clientes finales.,18,Felicidad
4/26/2024 12:56:50,OAZ5FC8A,Cuando estoy con mis amigos ,Cuando estoy con mis amigos,6,Felicidad
4/26/2024 13:17:38,DCV5DO3V,"Cuando estoy con amigos, termino un proyecto, encuentro un proyecto de materias que me gustan","Cuando estoy con amigos, termino un proyecto, encuentro un proyecto de materias que me gustan",21,Felicidad
